Sr. No,Dataset,Usecase,Use Case Description,Prediction Target,Industry,Deep Learning Problem,Data Type,Problem Type,Business Impact,Hydrogen Torch - Instance Link,Dataset Link,HT Owner,APP,Dataset Source,License,Dataset Description (1 liner),Dataset Details,Model Training,Model Predictions,Dir Link,,,,,Snapshot - Charts,Snapshot - Validation Predictions,Download Logs Zip,Download MLOPS Scoring Pipeline
11,Hurriance Damage Classification,Hurriance Damage Classification,"Hurricane Damage Classification model is used to assess the extent of damage caused by hurricanes on buildings and infrastructure. It helps emergency responders and insurance companies to prioritize their response and allocate resources efficiently. The model uses drone imagery and classify the level of damage into categories, providing a faster and more accurate assessment of the damage.",Automatically classify if a given region is likely to contain flooding damage or not,AI for Good,Image Classification,Image,Classification,"Hurricane damage classification has a significant business impact in the insurance industry. By accurately identifying and categorizing the extent of damage caused by hurricanes, insurance companies can efficiently assess claims, determine coverage eligibility, and expedite the claims process. This technology enables prompt and fair settlements, reduces fraudulent claims, and enhances customer satisfaction by streamlining the insurance workflow.",https://internal.dedicated.h2o.ai/instance/0a4c15f7-2e86-424c-b40a-ef2a94dab930/,s3://apac-cds/ht_datasets/image_classification/Hurriance_Damage_Classification.zip,       Shivam,HT,https://www.kaggle.com/datasets/faizalkarim/flood-area-segmentation?select=Image,Attribution 4.0 International (CC BY 4.0),"10000 train images , 2000 validation images, 2000 test images with labels is damage or not",,,,https://drive.google.com/drive/folders/1Sw3N87sXMqzNH8xl4gJZpqr9HanC0m_a?usp=share_link,,,,,,,,
12,Flooding Area Prediction,Flooding Area Segmentation ,"Flooding Area Segmentation Model is a computer vision model that can automatically identify and segment areas affected by flooding in images. This model can be useful for disaster response teams, allowing them to quickly identify and prioritize areas in need of aid.",Segmenting the water regions in flooding area,AI for Good,Image Segmentation,Image,Segmentation,"Flooding area segmentation has a crucial business impact in urban planning and disaster management. By accurately delineating and mapping flooded areas, city authorities and emergency responders can effectively allocate resources, prioritize rescue efforts, and implement evacuation plans. This technology aids in real-time decision-making, reduces response time, and improves the overall efficiency of emergency management, ultimately minimizing the impact of flooding on infrastructure, public safety, and property.",https://internal.dedicated.h2o.ai/instance/0a4c15f7-2e86-424c-b40a-ef2a94dab930/,s3://apac-cds/ht_datasets/image_segmentation/Flooding Area Prediction.zip,       Shivam,HT,https://www.kaggle.com/datasets/faizalkarim/flood-area-segmentation?select=Image,CC0: Public Domain,"231 train images and 58 test images with class id ""flood""",,,,https://drive.google.com/drive/folders/1KTBvJ3E1_nru-x-s1JdckqX5r9tTkBts?usp=share_link,,,,,,,,
13,Product Defect Classification,Product Defect Classification,"Product Defect Classification model is a machine learning model designed to detect and classify defects in products using image analysis techniques. The model uses a dataset containing images of products with and without defects, and trains a deep learning algorithm to accurately classify the images into their respective categories. This model can be used to improve quality control processes in manufacturing industries, by detecting defects early in the production process and preventing defective products from reaching customers.",Classify the defects in the machinery,Manufacturing,Image Classification,Image,Classification,"Product defect classification has a significant business impact in manufacturing and quality control. By automatically detecting and classifying defects in products during the production process, manufacturers can proactively identify and address quality issues, leading to improved product quality, reduced rework, and enhanced customer satisfaction. This technology helps minimize production costs, ensure compliance with quality standards, and maintain brand reputation by delivering high-quality products to the market.",https://internal.dedicated.h2o.ai/instance/ff7da899-91d3-4fa3-8489-75cff6229e62/,s3://apac-cds/ht_datasets/manufacturing/product_defect_classification.zip,Nishaanthini,PDC,https://www.kaggle.com/datasets/kaustubhdikshit/neu-surface-defect-database,Unknown,,,,,https://drive.google.com/drive/folders/14U7ueccc1EyNzj0M8ogus7NFN27qigV_?usp=share_link,,,,,,,,
14,Flood Area Classification,Flood area multi label segmentation,"Flood area segmentation/classification is a computer vision application that aims to identify and delineate flooded regions in satellite or aerial images. This use case is important for disaster management and emergency response operations, as it can help officials to quickly assess the extent of flooding and plan their response accordingly. The model uses image segmentation and classification techniques to accurately identify flooded regions, which can aid in decision-making for evacuation, rescue, and relief efforts.",Segment the flooding area in UAS imageries,AI for Good,Image Segmentation,Image,Segmentation,"Flood area multi-label segmentation has a valuable business impact in disaster response and urban planning. By accurately segmenting flooded areas into multiple categories such as residential, commercial, or critical infrastructure, emergency responders can prioritize rescue and recovery operations based on the severity of the affected areas. Additionally, urban planners can use this information to develop effective flood management strategies, optimize land use, and improve infrastructure resilience to mitigate the impact of future flooding events.",https://internal.dedicated.h2o.ai/instance/0a4c15f7-2e86-424c-b40a-ef2a94dab930/,s3://apac-cds/ht_datasets/image_segmentation/flood_segmentation_multi_label.zip,       Shivam,HT,https://github.com/BinaLab/FloodNet-Supervised_v1.0,Community Data License Agreement (permissive).,1450 train images and 448 test images with segmenting labels  ['Background' 'Building-flooded' 'Building-non-flooded' 'Road-flooded' 'Road-non-flooded' 'Water' 'Tree' 'Vehicle' 'Pool' 'Grass'],,,,https://drive.google.com/drive/folders/1bpQsMBTe6mPE54EnUmUjSUiOi33gquVz?usp=share_link,,,,,,,,
15,Indian Roads segmentation,Indian Roads segmentation,"Indian roads, potholes, and footpaths segmentation model can be used to accurately identify and locate areas  such as potholes ,roads and footpaths. This information can be used by city planners and road maintenance teams to prioritize repairs, improve road safety, and reduce accidents caused by damaged roads. The model can also be used to monitor the progress of repairs and ensure that they are carried out effectively.","Segment the roads, potholes, and footpaths in the images",AI for Good,Image Segmentation,Image,Segmentation,"Indian roads segmentation has a significant business impact in transportation and logistics. By accurately segmenting and mapping road networks in India, logistics companies can optimize route planning, fleet management, and delivery operations. This technology helps reduce transportation costs, improve delivery efficiency, and enhance customer service by providing accurate and up-to-date road network information. Additionally, government agencies can utilize this data for infrastructure planning, traffic management, and urban development, ultimately leading to improved transportation systems and economic growth.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/instance_segmentation/indian_road_seg_v4.zip,        Laksika,HT,https://www.kaggle.com/datasets/eyantraiit/semantic-segmentation-datasets-of-indian-roads,GPL 2,"2475 train images, 752 validation images, 753 validation images with labels ['roads' 'potholes' 'footpaths' 'shallow paths' 'backgrounds']",,,,https://drive.google.com/drive/folders/1kS_7qhflJ_cdM3Eni_Ookzbsz-8ktPt-?usp=share_link,,,,,,,,
16,Bird_classification,Bird species classification,"Bird classification is a use case of image classification that involves identifying and classifying different bird species from images. The main goal of this task is to develop a model that can accurately classify bird images based on their visual features such as shape, color, and texture. This can have applications in fields such as wildlife conservation, ornithology, and environmental monitoring.",Accurately classify the bird species,AI for Good,Image Classification,Image,Classification,"Bird species classification has significant business impact in various industries. In the field of ornithology and wildlife conservation, accurate classification of bird species helps in monitoring and understanding biodiversity, migration patterns, and population dynamics. This information is crucial for making informed conservation decisions and implementing targeted conservation efforts. Additionally, in the tourism industry, bird species classification can enhance birdwatching experiences by providing accurate identification and information about the species present in a particular area. It can also contribute to the development of birding-related products and services, such as specialized tours, guides, and photography equipment.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/image_classification/bird_classification.zip,        Laksika,HT,https://www.kaggle.com/datasets/arjunbasandrai/25-indian-bird-species-with-226k-images,Data files © Original Authors,2500 train images with 25 bird classes,,,,https://drive.google.com/drive/folders/1Fh0KfSvquekXsyh0HtIP5y0qfnp-kn53?usp=share_link,,,,,,,,
17,Pest_classification,Pest species classification,The Pest Classification model is used to identify and classify different types of pests. This can help in pest management by accurately identifying the pests and taking appropriate measures to control or prevent their infestation. The model is trained on a dataset of images of various pests and can accurately classify new images of pests with high accuracy.,Accurately classify the pest species,Agriculture,Image Classification,Image,Classification,"Pest species classification plays a crucial role in industries such as agriculture, forestry, and pest control. Accurately identifying and classifying pest species helps in implementing effective pest management strategies. By identifying the specific pests infesting crops, forests, or buildings, appropriate measures can be taken to prevent damage and reduce economic losses. Pest species classification also aids in determining the most suitable and targeted methods for pest control, such as the use of specific pesticides or biological agents. This enables more efficient and sustainable pest management practices, ensuring the protection of crops, natural resources, and infrastructure.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/image_classification/pest_classification.zip,        Laksika,HT,https://www.kaggle.com/datasets/shruthisindhura/pestopia,Unknown,55865 train images with 132 pest species,,,,https://drive.google.com/drive/folders/161ipJpyW83t-1_EJJgIfsza9Gctaui96?usp=share_link,,,,,,,,
18,Fiber Segmentation,Fiber segmentation in concrete,"The Fiber Segmentation in concrete model aims to accurately identify and segment fibers in concrete images, which can be useful for various engineering and construction applications. By using deep learning techniques, the model can automatically detect and classify fibers, providing a more efficient and accurate solution than traditional manual methods. This can improve the quality of concrete structures and reduce the risk of failure, ultimately leading to safer and more durable infrastructure.",Accurately identify and segment fibers in concrete images,Manufacturing,Image Segmentation,Image,Segmentation,"The fiber segmentation in concrete has significant business impact in the construction and infrastructure industries. By accurately segmenting and analyzing the distribution of fibers in concrete, it is possible to assess the structural integrity and durability of concrete structures. This information helps in optimizing the design and composition of concrete mixtures, ensuring the desired mechanical properties and performance. Moreover, fiber segmentation assists in quality control during the construction process, enabling early detection of any inconsistencies or defects in the fiber reinforcement. This ultimately leads to improved construction practices, increased safety, and enhanced longevity of concrete structures.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/image_segmentation/fiber-augmented.zip,        Laksika,HT,https://www.kaggle.com/datasets/franzwagner/pe-fibers?select=fibers_full_volume_for_testing,Unknown,7902 train images with their mask,,,,https://drive.google.com/drive/folders/18RWbeZGSsvuPLkv5Oo6IngevbRAmD0hh?usp=share_link,,,,,,,,
19,Text Summarization,Text summarization,"Text summarization is a natural language processing technique used to automatically generate a concise and coherent summary of a text. The need for text summarization model  arises when we need to quickly comprehend a large amount of text data. It is particularly useful for news articles, research papers, and legal documents, where the reader needs to quickly grasp the main points without having to read the entire document",Automatically generate a concise summary of a longer text,Content Creation ,Text sequence to sequence,Text,Text sequence to sequence,"Text summarization has a wide range of business applications, particularly in industries dealing with large volumes of textual information, such as news media, market research, and legal services. By automatically generating concise and coherent summaries from lengthy documents, text summarization improves information retrieval and comprehension. It allows users to quickly grasp the main points, key insights, and relevant details without having to read the entire text. This significantly enhances productivity, decision-making, and knowledge management. In news media, text summarization enables efficient content curation, aiding in the delivery of timely and relevant news to audiences. In legal services, it assists in digesting complex legal documents, conducting legal research, and preparing case summaries, saving valuable time and resources.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/text_sequence_to_sequence/text_summarization.zip,        Laksika,HT,https://www.kaggle.com/datasets/nfedorov/audio-summarization,Attribution-NonCommercial-ShareAlike 3.0 IGO (CC BY-NC-SA 3.0 IGO),500 text documents with their summarization,,,,https://drive.google.com/drive/folders/1hAigT4JorsAsg-rwL-RbiwmVPxsDQo40?usp=share_link,,,,,,,,
20,Whale Detection,Whale Detection in Audios,"Whale detection model using audio data is designed to identify and classify sounds emitted by whale. This model can be used by marine biologists and researchers to study whale behavior, migration patterns, and population dynamics. By analyzing the acoustic features of whale sounds such as frequency, duration, and amplitude, the model can accurately identify whale. The model uses various techniques such as signal processing, machine learning, and deep learning to extract features from audio recordings and classify them.",Identify whether the audio signal has whale or not,AI for Good,Audio Classification,Audio,Classification,"Whale detection in audios has significant business impact in industries related to marine research, environmental monitoring, and maritime operations. By accurately detecting and classifying whale vocalizations in audio recordings, it helps in understanding whale behavior, migration patterns, and population dynamics. This information is crucial for marine biologists, conservationists, and policymakers in making informed decisions regarding marine conservation and protection efforts. In the shipping and maritime industry, whale detection contributes to the implementation of measures to avoid collisions with whales, ensuring compliance with regulations and minimizing environmental impact. Furthermore, in the field of underwater acoustics, whale detection supports research and development of technologies for passive acoustic monitoring, providing valuable insights into the marine ecosystem and facilitating oceanic studies.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/audio_classification/whale_detection.zip,        Laksika,HT,https://www.kaggle.com/datasets/diegoasuarezg/whale-detection-challenge-255x255-png-dataset,"Copyright © 2011 by Cornell University and the Cornell Research Foundation, Inc. ",30000 audio rows with thei label 0 or 1,,,,https://drive.google.com/drive/folders/1YOdVA3APPLXDd5BRqxyJ1awRqC-hkNRv?usp=share_link,,,,,,,,
21,Pill Quality Classification,Pill Quality Classification,"Pill Quality Classification model is used for identifying and classifying pills based on their shape, color, and markings. This model is useful in pharmaceutical manufacturing, where quality control is critical for ensuring that medications are safe and effective. By accurately classifying pills, manufacturers can quickly detect and remove defective or counterfeit pills from the production line. The model uses image processing and machine learning techniques to classify pills based on their unique features, helping to improve the efficiency and accuracy of quality control processes.",Classify whether the pill is dirty or not,Healthcare ,Image Classification,Image,Classification,"Accurate pill quality classification holds immense business impact, particularly in the pharmaceutical industry. By leveraging computer vision and machine learning techniques, it enables pharmaceutical companies to ensure the quality and safety of their products. Reliable pill quality classification helps identify and eliminate defective or counterfeit pills from the market, safeguarding patient health and maintaining brand reputation. It streamlines quality control processes, reduces the risk of product recalls, and ensures compliance with regulatory standards, ultimately enhancing customer trust and overall business success.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/image_classification/pill_quality_classification.zip,        Laksika,HT,https://github.com/matlab-deep-learning/pillQC,"XSLA license, which is the most common license for MathWorks staff contributions.","330 train images with their labels [chip,dirt,normal]",,,,https://drive.google.com/drive/folders/1CJrOvXoRKOVrdFXpltpg4ZNNbCgjqPP2?usp=share_link,,,,,,,,
22,Pill Detection,Pill Object Detection in images,"A pill detection model is used to automatically identify pills and capsules from digital images. The model uses computer vision techniques to analyze the shape, color, size, and texture of the pills to determine their identity. This can be useful for pharmaceutical companies, hospitals, and pharmacies to ensure accuracy in inventory management, pill identification, and patient safety",Detect the pills in the image,Healthcare ,Object Detection,Image,Object Detection,"Pill detection technology offers significant business benefits, especially in healthcare settings. Automated pill detection systems assist in medication management, ensuring patient safety and medication adherence. By accurately identifying and verifying pills, these systems help prevent medication errors, improve inventory management, and enhance patient care. Pill detection technology also supports pharmaceutical research and development by enabling efficient identification and tracking of specific pills during clinical trials, reducing human error and speeding up the drug discovery process. Overall, pill detection enhances healthcare efficiency, minimizes risks, and improves patient outcomes.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/object_detection/pill_object_detection.zip,        Laksika,HT,https://github.com/GkcA/Pill-Detection-Yolov3,Unknown,449 train images with their object coordinates,,,,https://drive.google.com/drive/folders/1eS1zSwYqKi1JsRETHOt3rAVdNlKx0bWt?usp=share_link,,,,,,,,
